a,diameter,rot_per
2.534154,42.24,7.92
3.0164775,48.05,5.536
3.0610847,100.88,10.240
3.2086809,72.68,10.76
3.1486228,51.09,4.29
2.5920957,27.04,15.45
3.1818569,81.28,12.687
2.805554,34.07,10.045
2.8165217,37.53,14.92
2.9280966,97.35,30.96
2.768172,76,7.7172
3.0606074,79.99,7.870
2.57429605617972,41.80,11.606
2.5886987,51.47,8.452
3.1160922,83.04,8.630
2.5885544,41.13,6.313
2.3151264,14.36,6.425
3.140636,134.65,8.64
3.0184238,87.68,10.482
3.3821796,45.90,8.98
2.6694563,90.78,5.9220
2.5392208,48.18,14.222
3.1688451,75.76,17.988
2.8811641,80.14,16.538
2.8696376,27.03,5.033
2.2292864,15.44,6.075
3.0156572,40.18,9.090
3.19509020725671,194.73,8.36
3.06107455620104,316.62,8.727
2.9239758,134.22,53.96
2.7271835,29.22,22.072
2.91280756428628,96.56,52.4
2.57418897938891,127.57,11.732
3.40073503400733,105.52,8.28
2.5352579,39.18,6.998
2.8874269,33.73,8.919
3.5591495,76.07,8.0
2.5723815,21.51,3.749
2.5657554,44.02,13.04
2.5666302,32.17,5.07
2.7598801,49.15,16.71
2.9908126,41.78,8.184
2.4565567,37.61,12.34
3.3983663,88.71,11.35
3.1487845,70.82,7.106
2.7303264,74.32,15.95
2.2026121,16.66,6.7
2.5907703,44.07,14.13
3.0332504,62.79,17.83
2.736921,107.53,11.931
3.0113254,45.60,18.386
2.7924457,53.17,10.23
3.1678157,58.69,17.47
3.10293843915945,69.75,7.787
2.99304678046352,171.71,9.402
3.93726412921278,102.97,11.88
2.4437845,20.57,6.47
2.5499106,110.50,23.678
2.4635589,62.77,27.367
2.3288797,23.59,9.85
2.98890279328051,87.62,11.740
3.1717668,36.04,4.551
3.1967554,71.50,9.362
2.3731489,32.09,6.58
3.1887693,85.48,6.902
2.6194502,45.11,14.229
3.1577631,71.29,10.72
3.16035057046385,137.08,5.839
3.0234014,31.28,3.446
3.1744726,106.44,35.08
2.220814,16.00,5.951
2.6555966,29.38,5.892
2.8572836,95.88,6.7514
3.010041,33.59,6.104
2.9376055368406,151.17,7.668
3.2292284,65.57,12.88
3.2042582,64.06,11.659
2.6648847,76.62,11.186
3.2229134,66.02,19.059
2.1799493,11.88,4.08
2.3429184,40.02,34.4
3.0976481,89.42,13.
2.5689113,48.54,8.8882
2.5382492,27.51,6.0556
3.4090623,170.37,10.37
2.6207457,60.73,9.17
2.7514977,74.66,8.641
2.6343891,44.96,7.75
3.0163667,43.19,8.53
2.8380929,157.58,14.845
3.0159267,26.24,7.4
2.7439589,32.49,30.631
3.1504625,109.56,35.8
2.6589268,21.1,4.421
3.0018761,59.85,10.58
2.5892392,22.05,10.56
3.1669448,49.45,16.35
2.2264161,11.02,6.746
2.5815842,43.76,7.891
2.8972636,59.81,15.67
2.6141265,20.39,10.366
2.7824555,28.04,14.827
3.1551427,61.82,4.116
2.22874,12.26,9.34
2.3622295,23.01,4.6134
2.3124001,27.00,9.31
2.1901474,15.03,8.23
2.8092624,23.51,22.31
2.7946,29.32,9.386
3.1380357,66.85,10.951
2.8028329,27.26,15.05
3.2002383,27.06,7.03
3.1230104,88.31,20.03
2.7058027,52.47,41.33
2.7317076,30.04,7.20
2.6256272,29.04,10.6
3.1539587,56.47,14.586
2.55244,13.75,12.638
2.4864436,38.41,17.44
3.0910653,33.43,4.90
3.1801397,90.56,9.001
2.48621634781006,4.2,73.97
2.7083318,44.65,5.49
2.8594952,51.95,7.93
3.04928,76.14,10.51
3.1180193,36.54,4.69
3.2016228,141.90,9.396
2.9134797,27.69,6.245
2.4731058,18.78,16.5
3.2402671,63.43,21.60
2.9914162,58.75,4.93
2.2166773,21.33,10.
2.7973984,62.73,22.44
2.4736545,24.37,18.20
3.53956614170356,116.44,8.73
3.1305575,83.17,48.43
2.4576056,76.61,15.62
2.381781,28.10,7.92
3.1813983,58.48,15.64
2.69989768968488,54.34,7.880
2.9918093,48.48,26.1
3.2318247,67.57,12.994
3.1318138,66.49,14.13
3.1895705,45.27,19.20
2.7500352,53.35,8.166
3.1287344,39.56,8.80
3.3590424,87.21,15.57
3.1247427,69.21,15.66
5.74924050869827,38.,10.063
2.6374196,25.47,7.365
2.7508252,26.90,5.1655
2.20954709907243,12.2,7.042
2.9828328,81.61,7.51
3.137394,58.03,14.415
2.5953276,17.33,5.19
2.9180768,73.73,5.391
3.9812126,47.08,25.3
2.7205578,23.43,5.355
2.6398435,63.75,9.60
3.2130398,51.60,7.29
2.5331163,18.39,38.7
2.8339132,26.49,7.158
3.206663,80.53,9.746
3.115056,65.67,15.405
3.1924768,78.73,10.099
2.7428676,86.19,20.117
2.8055817,31.91,5.781
3.139031,50.94,9.52
3.1492458,43.67,10.523
3.0238492,27.33,13.308
2.5297543,24.42,5.95
2.6143632,31.62,15.26
3.0891281,29.53,7.20
2.6119479,17.9,22.77
3.1764616,47.78,9.47
3.1715369,57.82,8.7819
3.0909022,38.64,8.998
2.9314017,43.47,31.06
2.4802938,21.12,10.32
2.6809872,31.93,6.0
2.6056278,37.65,7.87
1.911537,8.37,3.832
2.7389475,99.39,12.146
2.8078181,26.39,3.833
3.3954318,71.38,15.69
2.8907306,20.78,15.37
3.0480591,75.47,51.0
3.1460405,50.69,9.081
2.66601943897943,31.66,10.31
3.9589526,58.3,23.2
3.1111339,35,59.2
3.2381866,73.64,16.26
2.7331721497938,70.16,10.46
3.2170662,67.21,20.
2.9194456,45.47,7.650
2.8895284,40.47,28.8
3.0095644,55.10,33.8
2.3141058,17.75,5.791
3.1301257,39.50,8.643
2.4752139,22.63,7.336
2.6884369,27.19,6.153
3.181987,69.95,18.168
3.161348,66.27,18.074
3.0131807,31.75,5.794
2.213535,12.92,16.44
3.0233594,31.52,2.787
2.6003186,45.83,13.031
2.691123,24.73,7.142
3.2321892,37.86,12.68
3.1811049,79.17,8.561
2.4271661,25.61,9.70
3.1072724,38.50,18.465
2.9216096,39.12,8.832
3.211608,77.20,15.61
2.5956292,46.84,12.749
3.024968,34.76,7.61
2.6677769,50.64,23.47
2.7726325,27.75,9.77
3.053385,31.14,11.514
3.0127771,33.23,6.
2.8973313,55.57,27.5
2.4265861,15.69,3.418
2.5659569,19.06,6.863
2.3793273,29.98,31.
3.1226629,48.82,7.9374
2.5359018,28.74,6.30
3.4090887,63.12,14.3
2.5515502,10.61,11.444
3.1789747,70.13,10.98
5.3246148,126.27,11.60
3.0192467,16.21,12.
2.6912103,30.65,4.0791
3.3491177,91.98,6.81
2.6802698,19.09,19.17
3.9940147,97,14.902
2.2603388,14.26,29.8
3.0176787,35.56,12.010
2.1901771,12.40,3.493
2.9311017,55.88,19.303
2.6524569,29.17,6.32
2.8791837,47.50,16.062
3.0605092,39.52,13.34
3.9770078,54.93,9.45
3.0199904,22.93,9.073
5.2365533,103.34,24.
3.0130047,33.65,15.3
3.1386649,33.20,16.
2.7111015,35.29,9.860
2.2126117,11.43,5.575
2.3041138,13.94,4.995
2.58107132918571,16.39,4.097
2.6124232,39.81,16.37
2.6672663,19.96,8.94
3.1857973,83.05,8.856
2.7348194,47.70,17.305
3.0988445,70.07,26.017
2.8946424,26.84,4.84
2.6196278,18.11,20.
2.2242914,12.41,18.223
2.5535485,21.00,3.92
2.6953939,17.39,10.636
3.1423754,31.28,8.693
3.0022947,51.49,17.57
2.6657218,49.29,7.231
3.3603341,73.34,11.82
2.4681965,23.41,5.50
3.96291291293379,94.10,14.05
2.6793627,28.65,5.649
2.6993988,27.64,17.19
3.410414,50.83,12.6
2.5586147,21.65,15.2
3.1158278,53.07,13.623
2.6446487,36.81,9.644
2.8606885,25.62,3.60
3.0135865,26.78,5.55
2.6888335,34.71,6.63
2.4180107,25.25,5.184
2.7633909,22.77,7.320
3.2047357,42.94,4.67
3.1455162,67.14,15.05
2.9113582,43.16,6.028
3.2033656,57.15,13.95
2.9860294,39.72,4.
2.9445241,30.8,6.78
3.1709877,55.08,9.67
2.9088951,38.86,12.52
3.1767161,25.87,3.525
2.7431102,27.49,11.89
3.9803033,71.82,11.40
2.8573091,23.35,6.0
3.2028726,64.91,73.9
3.0830618,64.73,12.422
2.6329155,29.84,8.87
3.2214408,29.90,6.907
2.8740038,27.55,16.57
2.5236141,19.29,3.64
3.1164756,41.24,8.397
2.3756693,18.18,4.325
3.0159942,25.22,11.95
3.4366286,101.58,17.100
2.6074964,26.44,18.
2.7182104,32.80,5.458
2.6762943,35.54,11.644
3.0210889,28.95,4.3
2.858803,26.14,12.307
2.6103792,14.94,6.967
2.5804624,15.44,4.404
2.7516552,37.56,4.797
3.0181881,29.65,8.17
5.1584533,164.31,24.46
3.9942621,47.87,12.95
3.1511145,29.20,10.756
2.6140515,14.88,12.66
1.897122,7.23,6.
3.1394596,29.90,4.678
3.1296972,32.94,16.56
2.7158392,33.04,6.60
2.3527614,18.58,6.647
2.5474938,11.05,15.132
2.6260346,18.43,9.958
2.3991575,12.70,10.44
1.8664051,8.17,3.247
2.619831,19.92,17.370
2.7173649,36.16,6.943
3.1051933,53.61,5.23
3.1107973,42.79,9.276
3.0133069,26.13,7.08
2.7282288,22.12,9.75
2.3734827,21.71,13.77
3.4187529,28.65,10.
2.2261633,11.52,8.782
1.07788719515014,1.0,2.273
3.2093327,67.83,16.405
3.102614,33.62,8.048
3.1394189,27.25,6.7
2.1965842468206,5.8,6.1384
3.1553323,36.79,15.665
2.376204,21.70,14.880
2.9327247,50.42,9.38
2.4306632,14,3.370
2.23056,13.27,6.7
2.3922064,18.7,10.
2.7547112,36.03,6.4249
3.0251277,32.33,7.04
3.0110923,32.47,11.60
2.5829669,29.64,19.46
2.7351457,21.11,81.0
1.24542926019145,1.77,5.223
1.86333778280526,8.1,4.795
3.0108748,57.12,9.52
3.0310316,20.03,32.55
2.2354154,9.66,6.683
2.5722066,36.41,12.5
3.0159606,25.66,6.01
3.0583532,30.58,4.861
2.7851366,30.57,20.4
1.8775582,7.86,2.59
2.782694,31.21,5.01
3.1968567,27.38,8.1
2.2327686,11.08,5.3
3.118624,51.16,17.94
2.7232807,14.20,3.44
1.36694536402591,3.4,10.196
3.1514196,33.93,6.3
2.8007,38.67,8.825
2.7822302,19.62,5.3
3.1698738,25,13.204
2.9260797,29.30,7.520
3.1749861,59.48,11.527
2.6559866,18.93,5.867
3.0112872,31.30,5.57
3.0121827,24.06,3.90
3.140931,62.34,12.599
2.8911545,20.11,8.56
2.4727499,17.28,17.45
3.956038,64.25,19.8
1.7091659,6.35,5.2896
3.9482974,79.52,4.285
3.0880253,26.21,3.624
3.0172799,27.92,18.0
2.6598337,21.36,12.
3.3489138,73.83,11.0
3.0229224,23.26,6.325
3.132611,25.70,23.0
2.6835795,24.73,17.978
2.3711055,15.90,6.35
3.2092012,30.78,13.64
3.2144624,34.87,16.141
2.6102566,23.90,6.37
3.0625852,21.14,8.01
1.47070215088165,1.5,3.065
2.25929194503991,2.1,7.4568
1.46095124764893,3.7,8.572
1.07999722859064,1.2,6.810
1.89393860713174,8.2,2.400
5.1343794,122.67,24.
2.4261678,11.22,3.079
3.0921651,33.53,17.490
3.9707092,96.86,21.2
2.54108803526282,0.5,4.9
2.27322754429176,3.5,3.49
2.14964229048536,5.7,2.690
2.3390053,12.28,6.183
2.8941812,27.00,13.056
2.6757569,24.81,19.651
1.43021276594602,2.3,2.8695
1.3904652,5.57,5.3016
3.118126,35.55,47.7
2.5261733,24.55,8.46
2.42264289526321,44.67,18.160
1.709867398534,4.3,7.2523
1.77612013547092,3.4,5.220
2.3818768,6.66,3.6898
3.0065402,30.45,7.462
2.9619755,20,11.110
3.1181985,21.36,10.044
13.6851394829251,166,5.918
2.26349426816897,2.6,11.50
0.966699016119134,1.1,40.77
2.1784258,13.61,4.233
3.9549796,42.59,17.75
3.1686553,34.53,32.52
3.0130519,30.48,71.3
2.2320567,12.69,6.1124
0.832039823278973,3.4,19.7998
3.143389,22.81,9.249
2.3898599,22.25,15.800
3.017771,24.5,6.564
3.1926553,27.67,5.486
3.0641821,41.18,2.769
1.8872634,7.77,2.572
2.98726,29.49,5.308
2.17145282224056,1.80,26.
2.5935,25.16,8.
5.1261969,85.11,8.01
2.8454256,16.44,9.47
3.1679484,25.22,4.987
3.9488567,44.21,4.992
2.7097626,26.42,5.67
2.693778,23.47,3.810
3.3946856,46.94,4.883
2.4584829,15.54,8.90
2.6459788,21.59,27.78
2.10443391379387,2.3,5.9
2.6106204,12.04,3.91
2.9104778,24.04,5.811
3.0077477,30.89,3.974
2.7934662,30.24,10.065
3.0185927,26.1,6.878
2.6027878,10.91,13.44
2.6869174,17.79,7.418
3.9668522,44.17,14.733
3.1570612,55.61,6.76
2.5023052546316,0.9,8.
3.1227486,26.42,6.132
5.1722522,98.10,8.480
2.5196897,11.95,21.75
3.0343698,40.14,9.956
3.9842527,57.90,13.0
5.1057071,111.14,14.8
3.0826024,38.25,6.
3.0269828,23.99,13.73
3.1660923,56.13,14.00
