NAME,A,PER,R,MASS
Kepler-1576 b,0.0726835,6.98471973,0.093,0.00338324
Kepler-222 d,0.180811,28.081912,0.3292,0.0422294
Kepler-1304 b,0.118345,16.1288853,0.204,0.0173469
Kepler-1546 b,0.139845,19.5974971,0.279,0.0291691
Kepler-394 b,0.0783155,8.005013,0.142742,0.0119197
Kepler-1250 b,0.0369521,2.60754383,0.171,0.0141192
Kepler-218 b,0.0461345,3.619337,0.132037,0.0112762
Kepler-54 c,0.0822829,12.0717249,0.109635,0.00602351
Kepler-33 b,0.0677431,5.66793,0.155094,0.0128331
Kepler-1437 b,0.0940811,10.9295461,0.122,0.00866602
Kepler-391 b,0.0744302,7.416755,0.285485,0.0305853
Kepler-618 b,0.0466872,3.59576964,0.232,0.0208973
Kepler-55 e,0.0542683,4.617534,0.138282,0.011604
Kepler-34 b,0.86856,288.822,0.764,0.220004
Kepler-255 d,0.0199578,1.04562266,0.118,0.00774372
Kepler-1085 b,0.736945,219.3217528,0.644,0.154219
Kepler-383 b,0.107672,12.904532,0.117763,0.00769114
Kepler-444 f,0.0813861,9.740486,0.0675,0.00108547
Kepler-336 b,0.0313231,2.024823,0.0909983,0.00313003
WASP-1 b,0.0385203,2.5199449,1.516,0.918
XO-5 b,0.0508651,4.1877537,1.03,1.15251
HAT-P-3 b,0.0388252,2.899703,0.899,0.595712
Kepler-1175 b,0.213368,37.94563,0.267,0.0267373
Kepler-1421 b,0.0765054,6.9131112,0.083,0.00225358
Kepler-1626 b,0.0578859,4.13962966,0.18,0.0149156
Kepler-252 c,0.0959074,10.848463,0.19181,0.0160511
Kepler-718 b,0.0333991,2.0523499,1.477,1
Kepler-247 b,0.0436956,3.33616,0.146311,0.0121773
Kepler-251 e,0.420626,99.640161,0.247123,0.0232079
Kepler-1583 b,0.0849527,9.32807355,0.054,0.000499273
Kepler-282 b,0.0860552,9.220524,0.0901062,0.00302153
Kepler-354 c,0.129058,16.934402,0.11687,0.00749504
Kepler-1529 b,0.0557286,5.33905686,0.187,0.0155754
Kepler-1446 b,0.0142447,0.68996783,0.073,0.00142986
Kepler-1098 b,0.0363405,2.54307286,0.116,0.00730709
Kepler-102 b,0.0551367,5.28696,0.041927,0
