Mercury		0.387	0.33
Venus		0.723	0.33
Earth		1.00	0.3308
Moon		1.00	0.394
Mars		1.524	0.366
Jupiter		5.204	0.254
Io		5.204	0.37685 
Europa		5.204	0.346 
Ganymede	5.204	0.3105
Callisto	5.204	0.3549
Saturn		9.582	0.210
Rhea		9.582	0.341
Titan		9.582	0.55
Uranus		19.201	0.225
Neptune		30.047	0.24
Sun		0.001	0.06
