full_name,a,year
"119473 (2001 UO18)",39.41828281213844,2001
"119878 (2002 CY224)",54.11869097996924,2002
"119951 (2002 KX14)",39.01006807842239,2002
"119956 (2002 PA149)",43.47749527377977,2002
"119979 (2002 WC19)",47.74871378327635,2002
"120132 (2003 FY128)",49.83206298490596,2003
"120178 (2003 OP32)",43.18239749157789,2003
"120181 (2003 UR292)",32.19465942621569,2003
"120216 (2004 EW95)",39.76501931535211,2004
"120347 Salacia (2004 SB60)",41.91213917369986,2004
"120348 (2004 TY364)",38.68469294797608,2004
"123509 (2000 WK183)",44.19809982215715,2000
"126154 (2001 YH140)",42.39105683277386,2001
"126155 (2001 YJ140)",39.38811936617676,2001
"126619 (2002 CX154)",72.09216328267769,2002
"126719 (2002 CC249)",47.41509891202804,2002
"127546 (2002 XU93)",67.46786357131555,2002
"127871 (2003 FC128)",35.16120829585376,2003
"129746 (1999 CE119)",39.6956745329245,1999
"129772 (1999 HR11)",43.99404908653757,1999
"130391 (2000 JG81)",47.8418185053732,2000
"131318 (2001 FL194)",39.66564937989524,2001
"131695 (2001 XS254)",37.28082217591508,2001
"131696 (2001 XT254)",53.08109079459818,2001
"131697 (2001 XH255)",35.00455933802129,2001
"133067 (2003 FB128)",39.87444901549426,2003
"134210 (2005 PQ21)",61.75144752071886,2005
"134340 Pluto",39.4450697257358,1930
"134568 (1999 RH215)",43.45065523965831,1999
"134860 (2000 OJ67)",42.76239380782231,2000
"135024 (2001 KO76)",43.94459879371541,2001
"135182 (2001 QT322)",36.9343142034739,2001
"135571 (2002 GG32)",55.8802951923095,2002
"135742 (2002 PB171)",43.55819027712152,2002
"136108 Haumea (2003 EL61)",43.35533235478007,2003
"136120 (2003 LG7)",62.91649045328762,2003
"136199 Eris (2003 UB313)",67.64968008508858,2003
"136472 Makemake (2005 FY9)",45.71497362121043,2005
"137294 (1999 RE215)",44.86573267475849,1999
"137295 (1999 RB216)",47.25680563743279,1999
"138537 (2000 OK67)",46.36904369983746,2000
"138628 (2000 QM251)",44.54495777516272,2000
"139775 (2001 QG298)",39.16380561381978,2001
"143685 (2003 SS317)",36.27489588197231,2003
"143707 (2003 UY117)",55.13318723343919,2003
"143751 (2003 US292)",41.94041177082053,2003
"143991 (2003 YO179)",44.50052666182366,2003
"144897 (2004 UX10)",38.83106930052723,2004
"145451 (2005 RM43)",89.68524328521123,2005
"145452 (2005 RN43)",41.45517880548925,2005
"145453 (2005 RR43)",43.03926699590797,2005
"145474 (2005 SA278)",91.25814180215924,2005
"145480 (2005 TB190)",75.39724794679211,2005
"148112 (1999 RA216)",43.76225121203328,1999
"148209 (2000 CR105)",222.9175636045667,2000
"148780 Altjira (2001 UQ18)",44.06388252598265,2001
"149348 (2002 VS130)",44.87340453536386,2002
"149349 (2002 VA131)",42.08258461073984,2002
"149560 (2003 QZ91)",41.48028117234232,2003
"150642 (2001 CZ31)",45.40512430993282,2001
"160091 (2000 OL67)",44.97524972862443,2000
"160147 (2001 KN76)",44.04207743308298,2001
"160148 (2001 KV76)",70.60268433199562,2001
"160256 (2002 PD149)",42.79851178748422,2002
"168700 (2000 GE147)",39.71452186718016,2000
"168703 (2000 GP183)",40.09163758591391,2000
"169071 (2001 FR185)",39.56698385565367,2001
"174567 Varda (2003 MW12)",45.99327031087496,2003
"175113 (2004 PF115)",38.91314344664501,2004
"181708 (1993 FW)",44.06212451212035,1993
"181855 (1998 WT31)",45.8199641747605,1998
"181867 (1999 CV118)",52.95884924543081,1999
"181868 (1999 CG119)",49.83977032719211,1999
"181871 (1999 CO153)",43.78974506438281,1999
"181874 (1999 HW11)",53.19947116000844,1999
"181902 (1999 RD215)",120.9727386845704,1999
"182222 (2000 YU1)",43.4479003514146,2000
"182223 (2000 YC2)",58.15131288184253,2000
"182294 (2001 KU76)",45.36512033575299,2001
"182397 (2001 QW297)",51.6118876879077,2001
"182926 (2002 FU6)",46.07455909463662,2002
"182933 (2002 GZ31)",50.90155778595037,2002
"182934 (2002 GJ32)",44.56105269386584,2002
"183595 (2003 TG58)",44.41952193921615,2003
"183963 (2004 DJ64)",44.67111013771263,2004
"183964 (2004 DJ71)",53.43154995480585,2004
"184212 (2004 PB112)",106.3531732547143,2004
"184314 (2005 EO302)",45.51534357319704,2005
"202421 (2005 UQ513)",43.14898373914571,2005
"208996 (2003 AZ84)",39.50980122466424,2003
"225088 (2007 OR10)",67.14366074952106,2007
"229762 (2007 UK126)",73.02138344091992,2007
"230965 (2004 XA192)",46.97181893109195,2004
"241097 (2007 DU112)",40.95359093546362,2007
"275809 (2001 QY297)",43.84855769573306,2001
"278361 (2007 JJ43)",48.33838420116117,2007
"303712 (2005 PR21)",44.0535192623983,2005
"303775 (2005 QU182)",111.177094800837,2005
"305543 (2008 QY40)",61.65064732328501,2008
"306792 (2001 KQ77)",39.71960744072124,2001
"307251 (2002 KW14)",47.06289355477767,2002
"307261 (2002 MS4)",41.87689427889687,2002
"307463 (2002 VU130)",39.05600072956391,2002
"307616 (2003 QW90)",43.5856194087411,2003
"307982 (2004 PG115)",90.28813119619075,2004
"308193 (2005 CB79)",43.55516215835634,2005
"308379 (2005 RS43)",47.58288771416613,2005
"308460 (2005 SC278)",34.68673416538954,2005
"308634 (2005 XU100)",43.51772272227631,2005
"308933 (2006 SQ372)",785.5506955990586,2006
"309239 (2007 RW10)",30.16572527575211,2007
"310071 (2010 KR59)",30.25526384535669,2010
"312645 (2010 EP65)",48.04316185421897,2010
"315530 (2008 AP129)",41.81896585872278,2008
"316179 (2010 EN65)",30.79446403574042,2010
"336756 (2010 NV1)",308.9177603218163,2010
"341520 Mors-Somnus (2007 TY430)",39.01151297367461,2007
"353222 (2009 YD7)",122.9814141550318,2009
"363330 (2002 PQ145)",43.7885181685493,2002
"363401 (2003 LB7)",45.92064612573822,2003
"364171 (2006 JZ81)",45.06090365344819,2006
"385185 (1993 RO)",39.05851005363554,1993
"385191 (1997 RT5)",41.1689480999608,1997
"385194 (1998 KG62)",43.37854857059113,1998
"385199 (1999 OE4)",45.27607893085902,1999
"385201 (1999 RN215)",42.98796202138439,1999
"385266 (2001 QB298)",42.52947681190038,2001
